res.qq.com	['101.226.211.232', '101.226.211.233']
biz.qq.com	['183.61.38.179']
kd.qq.com	['101.226.76.235']
ny.qq.com	['180.153.105.173', '180.153.105.161', '180.153.105.153', '180.153.105.162', '180.153.105.172', '180.153.105.159', '180.153.105.156', '180.153.105.147', '180.153.105.155']
net.qq.com	['0.0.0.1']
ph.qq.com	['58.251.148.247', '58.251.148.139']
mc.qq.com	['180.153.105.161', '180.153.105.153', '180.153.105.162', '180.153.105.172', '180.153.105.159', '180.153.105.156', '180.153.105.147', '180.153.105.155', '180.153.105.173']
mia.qq.com	['0.0.0.1']
mail.qq.com	['14.18.245.237']
user.qq.com	['0.0.0.1']
md.qq.com	['180.153.105.153', '180.153.105.162', '180.153.105.172', '180.153.105.159', '180.153.105.156', '180.153.105.147', '180.153.105.155', '180.153.105.173', '180.153.105.161']
home.qq.com	['183.57.48.23']
in.qq.com	['0.0.0.1']
ok.qq.com	['101.227.130.100']
dc.qq.com	['101.227.130.59']
client.qq.com	['0.0.0.1']
static.qq.com	['211.159.158.249']
nc.qq.com	['101.227.160.34']
mn.qq.com	['180.153.105.162', '180.153.105.172', '180.153.105.159', '180.153.105.156', '180.153.105.147', '180.153.105.155', '180.153.105.173', '180.153.105.161', '180.153.105.153']
sd.qq.com	['180.163.26.39']
ap.qq.com	['183.36.108.199', '183.57.48.84']
no.qq.com	['180.163.25.124']
www.qq.com	['61.129.7.47']
at.qq.com	['101.227.131.64']
om.qq.com	['61.151.224.32']
ca.qq.com	['183.57.48.61']
r.qq.com	['101.227.130.70']
nt.qq.com	['61.151.224.32']
ip.qq.com	['61.151.186.39', '101.227.139.179']
win.qq.com	['180.163.25.122']
nj.qq.com	['101.226.212.175', '61.151.224.40']
wa.qq.com	['122.228.0.167', '122.228.56.144', '122.228.0.170', '180.153.105.151', '122.228.0.168', '122.228.0.169']
kc.qq.com	['101.227.131.64']
cg.qq.com	['180.153.105.172', '180.153.105.159', '180.153.105.156', '180.153.105.147', '180.153.105.155', '180.153.105.173', '180.153.105.161', '180.153.105.153', '180.153.105.162']
new.qq.com	['61.129.7.47']
ec.qq.com	['183.61.46.163']
ms.qq.com	['61.151.229.203', '61.151.225.225']
mta.qq.com	['61.151.206.28']
mobile.qq.com	['101.226.86.182', '61.151.217.46']
tas.qq.com	['180.163.25.36', '101.227.143.10']
de.qq.com	['183.3.226.66']
az.qq.com	['122.228.56.147', '122.228.56.145', '180.153.105.160', '180.153.105.174']
try.qq.com	['183.61.49.188']
hr.qq.com	['59.37.96.247', '180.163.25.47']
public.qq.com	['14.17.32.249']
by.qq.com	['122.228.56.145', '180.153.105.160', '180.153.105.174', '122.228.56.147']
mob.qq.com	['61.151.217.46', '101.226.86.182']
nl.qq.com	['183.57.48.23']
ab.qq.com	['101.227.160.45', '61.151.168.159']
wp.qq.com	['14.215.158.24']
tu.qq.com	['180.163.21.37']
smtp.qq.com	['14.17.57.241', '14.18.245.164']
a.qq.com	['180.153.105.160', '180.153.105.174', '122.228.56.147', '122.228.56.145']
hot.qq.com	['101.227.131.64']
insight.qq.com	['101.226.233.177']
wifi.qq.com	['101.227.131.64']
pie.qq.com	['61.129.7.26']
sc.qq.com	['101.227.131.64']
is.qq.com	['101.226.103.51']
web.qq.com	['180.163.21.61']
ar.qq.com	['61.129.7.43']
mcn.qq.com	['61.129.7.42']
way.qq.com	['101.226.86.182', '61.151.217.46']
gt.qq.com	['61.151.168.159', '101.227.160.45']
vs.qq.com	['180.163.26.39']
se.qq.com	['163.177.73.107']
love.qq.com	['61.129.7.83']
rz.qq.com	['183.61.38.179']
it.qq.com	['180.163.26.39']
pc.qq.com	['101.226.211.233', '101.226.211.232']
act.qq.com	['101.91.63.211']
users.qq.com	['123.206.33.170']
wb.qq.com	['183.61.38.233']
sb.qq.com	['183.57.48.12']
jz.qq.com	['183.61.38.235']
sk.qq.com	['123.151.148.69']
hn.qq.com	['61.129.7.47']
we.qq.com	['59.37.97.124']
